Angle Bartlett MVDR MUSIC
-32.16216216216216 -22.1860141098421 -23.945540030331443 -29.74399349849016
-31.98198198198198 -20.326392008266836 -23.930365246829396 -29.776603062195942
-31.8018018018018 -18.890953525837205 -23.9160110009069 -29.81307992287531
-31.62162162162162 -17.864073218696667 -23.90548425542574 -29.854943867331492
-31.44144144144144 -17.190697827692468 -23.901217050814367 -29.90319414172689
-31.26126126126126 -16.82653866342416 -23.90474085722845 -29.958074741125856
-31.08108108108108 -16.743295555270944 -23.916487692998423 -30.018961296328946
-30.9009009009009 -16.92664963601729 -23.935752225686628 -30.084382630833737
-30.72072072072072 -17.374003051887644 -23.960818611926896 -30.152165430757208
-30.54054054054054 -18.0926037398719 -23.989223700781928 -30.21966966813514
-30.36036036036036 -19.096509953183617 -24.01810504583245 -30.28407113447266
-30.18018018018018 -20.397105951102237 -24.044574124567113 -30.34264730482932
-30.0 -21.97039916476261 -24.066061587408182 -30.393031237891623
-29.81981981981982 -23.656190105310717 -24.080596448910136 -30.43341061094976
-29.63963963963964 -24.957519384033485 -24.086997842781763 -30.462660835570297
-29.45945945945946 -25.135423497267155 -24.084971320959244 -30.48040986453688
-29.27927927927928 -24.150860943185776 -24.07511007102015 -30.48703725800964
-29.0990990990991 -22.729713140426362 -24.05880605382434 -30.483612337274764
-28.91891891891892 -21.399419223463294 -24.038079537209303 -30.471777512650693
-28.73873873873874 -20.337204581244535 -24.015340372572254 -30.4535847452329
-28.55855855855856 -19.57197281845129 -23.9931018978117 -30.43129656060576
-28.37837837837838 -19.092402287339794 -23.97367773971666 -30.407168024826653
-28.1981981981982 -18.88220088974898 -23.95890003966389 -30.38323141993622
-28.01801801801802 -18.929654569929152 -23.949900514014235 -30.36110893267935
-27.83783783783784 -19.229249762661468 -23.946989796327497 -30.34187825740372
-27.65765765765766 -19.78023893413495 -23.94965512469183 -30.326010263403184
-27.47747747747748 -20.581900664103806 -23.95667500411029 -30.313387206228192
-27.2972972972973 -21.621020856381072 -23.96632817381635 -30.303396700058002
-27.117117117117118 -22.840133042733083 -23.976659208287693 -30.29508423335818
-26.936936936936938 -24.069481247553057 -23.985757729672383 -30.2873385082917
-26.756756756756758 -24.952059555869784 -23.992011987741723 -30.27908090494644
-26.576576576576578 -25.07699949130658 -23.99430713530077 -30.26943262716788
-26.396396396396398 -24.415721105109228 -23.99214988285201 -30.25783896017664
-26.216216216216218 -23.360064300679213 -23.985711498163855 -30.24413759728723
-26.036036036036037 -22.285840703555543 -23.975789335562794 -30.228565687504002
-25.855855855855864 -21.379897028071465 -23.963693766609314 -30.211707422420893
-25.675675675675677 -20.70698043817805 -23.951073651940415 -30.194390520334004
-25.495495495495504 -20.2816311661684 -23.93970003043998 -30.177545902094565
-25.315315315315317 -20.102567835739254 -23.931234067961714 -30.162049883870942
-25.135135135135144 -20.165678808403683 -23.9270098273529 -30.148571523698312
-24.954954954954957 -20.467642473408457 -23.927862792990293 -30.137448239396324
-24.774774774774784 -21.004512780343852 -23.934029565548354 -30.128609596995425
-24.594594594594597 -21.7647556000506 -23.945132768863754 -30.12156223796485
-24.414414414414424 -22.711872931917245 -23.96025027387346 -30.115439420700714
-24.234234234234236 -23.748014612390506 -23.978053206698142 -30.109108661993012
-24.054054054054063 -24.66178044126839 -23.99698670899091 -30.10132271298197
-23.873873873873876 -25.13555615713424 -24.01546329723269 -30.090894139656577
-23.693693693693703 -24.95293290888013 -24.032040883540994 -30.07687244950162
-23.513513513513516 -24.232694682169978 -24.04556422022125 -30.058704232666162
-23.333333333333343 -23.29258249824558 -24.055257178008805 -30.036359798803993
-23.153153153153156 -22.38674787681934 -24.060761712265112 -30.01041302469011
-22.972972972972983 -21.64420455386608 -24.062126374015385 -29.98206395750804
-22.792792792792795 -21.11554503269137 -24.059752411650315 -29.953096375735434
-22.612612612612622 -20.816354764327734 -24.054309004384983 -29.925765956577294
-22.432432432432435 -20.749358226046795 -24.046631178164468 -29.902620192123685
-22.252252252252262 -20.91320819595923 -24.037614538027086 -29.8862595893722
-22.072072072072075 -21.30402613279589 -24.02812001058894 -29.879060625545925
-21.891891891891902 -21.911254653106617 -24.018899241019916 -29.882892268923335
-21.711711711711715 -22.70548721357404 -24.0105472824442 -29.898865859489298
-21.53153153153154 -23.612910312277723 -24.00348428365051 -29.927158671745676
-21.351351351351354 -24.476319407755398 -23.99796290018206 -29.966942205211488
-21.17117117117118 -25.042269920067675 -23.994094132127245 -30.016428375408335
-20.990990990990994 -25.07608906690484 -23.99188206585588 -30.073025221285555
-20.810810810810807 -24.57375281612808 -23.991257976201695 -30.13357512808173
-20.630630630630634 -23.766363998228805 -23.99210630471341 -30.194638157965553
-20.450450450450447 -22.909521075766985 -23.994278568083654 -30.25278256556671
