Angle Bartlett MVDR MUSIC
-90.0 -19.660246957399682 -24.81819098113215 -41.762907709799634
-89.81981981981981 -19.65934421504906 -24.8181753869587 -41.76289608823048
-89.63963963963964 -19.65663698598471 -24.818128598025208 -41.76286120212734
-89.45945945945945 -19.652128263716264 -24.81805059513742 -41.76280298735235
-89.27927927927928 -19.645823035905654 -24.81794134645539 -41.76272133717316
-89.09909909909909 -19.637728282048904 -24.817800807719273 -41.76261610250934
-88.91891891891892 -19.62785297015577 -24.817628922565266 -41.76248709227767
-88.73873873873873 -19.61620805235596 -24.81742562293178 -41.76233407383691
-88.55855855855856 -19.60280645934226 -24.81719082955568 -41.76215677353269
-88.37837837837837 -19.587663093545654 -24.816924452558563 -41.76195487734283
-88.1981981981982 -19.57079482092491 -24.816626392122796 -41.761728031624344
-88.01801801801801 -19.55222046124401 -24.816296539257287 -41.76147584396269
-87.83783783783784 -19.53196077670307 -24.815934776652632 -41.76119788412442
-87.65765765765765 -19.510038458786447 -24.815540979625446 -41.76089368511423
-87.47747747747748 -19.486478113191847 -24.815115017151474 -41.76056274433773
-87.29729729729729 -19.461306242707085 -24.814656752987062 -41.76020452487093
-87.11711711711712 -19.434551227910475 -24.814166046878515 -41.759818456837976
-86.93693693693693 -19.40624330558038 -24.813642755858712 -41.75940393889845
-86.75675675675676 -19.37641454471365 -24.813086735630264 -41.758960339845444
-86.57657657657657 -19.34509882006999 -24.81249784203438 -41.75848700031611
-86.3963963963964 -19.31233178317934 -24.811875932604444 -41.75798323461588
-86.21621621621621 -19.278150830769768 -24.81122086820328 -41.757448332657916
-86.03603603603604 -19.24259507059989 -24.81053251474259 -41.75688156201914
-85.85585585585585 -19.205705284701878 -24.809810744983324 -41.75628217011422
-85.67567567567568 -19.167523890070452 -24.809055440415126 -41.75564938648883
-85.49549549549549 -19.128094896857895 -24.808266493213043 -41.7549824252334
-85.31531531531532 -19.08746386416314 -24.807443808269255 -41.754280487518486
-85.13513513513513 -19.045677853529 -24.80658730529752 -41.7535427642528
-84.95495495495496 -19.002785380287126 -24.805696921007588 -41.75276843886471
-84.77477477477477 -18.95883636291566 -24.80477261134661 -41.75195669020808
-84.5945945945946 -18.913882070595307 -24.80381435380422 -41.75110669559275
-84.41441441441441 -18.867975069172367 -24.802822149777704 -41.75021763394011
-84.23423423423424 -18.821169165754444 -24.8017960269932 -41.74928868906382
-84.05405405405405 -18.773519352181506 -24.800736041978546 -41.748319053075384
-83.87387387387388 -18.725081747627403 -24.799642282583054 -41.74730792991425
-83.69369369369369 -18.675913540598273 -24.798514870538956 -41.7462545390014
-83.51351351351352 -18.626072930602415 -24.79735396405885 -41.74515811901537
-83.33333333333333 -18.5756190697693 -24.79615976046314 -41.744017931789216
-83.15315315315316 -18.52461200470001 -24.794932498830818 -41.74283326632608
-82.97297297297297 -18.47311261882876 -24.793672462666546 -41.74160344293148
-82.7927927927928 -18.42118257557297 -24.7923799825764 -41.740327817458756
-82.61261261261261 -18.368884262542657 -24.791055438944273 -41.73900578566479
-82.43243243243244 -18.31628073707385 -24.789699264600177 -41.73763678767156
-82.25225225225225 -18.263435673337977 -24.788311947471318 -41.73622031252918
-82.07207207207207 -18.210413311270386 -24.78689403320612 -41.7347559028751
-81.89189189189189 -18.157278407545196 -24.785446127760924 -41.73324315968367
-81.71171171171171 -18.10409618881158 -24.783968899938426 -41.73168174709927
-81.53153153153153 -18.050932307388795 -24.782463083866375 -41.73007139734597
-81.35135135135135 -17.997852799602434 -24.780929481404463 -41.7284119157054
-81.17117117117117 -17.944924046927547 -24.779368964466823 -41.72670318555401
-80.990990990991 -17.892212740086144 -24.777782477246895 -41.72494517345002
-80.8108108108108 -17.839785846231354 -24.776171038330933 -41.72313793425936
-80.63063063063063 -17.787710579332106 -24.774535742685902 -41.72128161630911
-80.45045045045045 -17.736054373857083 -24.772877763506933 -41.719376466556
-80.27027027027027 -17.684884861840466 -24.771198353909135 -41.71742283575646
-80.09009009009009 -17.634269853396724 -24.76949884844789 -41.715421183623846
-79.90990990990991 -17.584277320738604 -24.76778066445169 -41.71337208395738
-79.72972972972973 -17.534975385738235 -24.766045303150776 -41.711276229726224
-79.54954954954955 -17.486432311060327 -24.764294350584922 -41.70913443809117
-79.36936936936937 -17.438716494884684 -24.762529478273073 -41.70694765534528
-79.1891891891892 -17.39189646922686 -24.76075244362768 -41.704716961753725
-79.009009009009 -17.346040901855574 -24.758965090096158 -41.70244357627189
-78.82882882882883 -17.301218601800716 -24.75716934701201 -41.70012886111987
-78.64864864864865 -17.257498528438052 -24.75536722913814 -41.697774326190356
-78.46846846846847 -17.21494980413288 -24.753560835884993 -41.69538163326546
-78.28828828828829 -17.17364173042139 -24.751752350186358 -41.69295260001762
-78.10810810810811 -17.1336438077062 -24.749944037016128 -41.690489203768095
-77.92792792792793 -17.095025758441253 -24.74813824152955 -41.68799358497572
-77.74774774774775 -17.057857553781147 -24.746337386813344 -41.68546805042788
-77.56756756756756 -17.02220944367084 -24.744543971229497 -41.68291507610422
-77.38738738738739 -16.988151990352797 -24.742760565338635 -41.68033730968329
-77.2072072072072 -16.9557561052723 -24.74098980838971 -41.67773757266112
-77.02702702702703 -16.92509308936298 -24.73923440436397 -41.675118862050326
-76.84684684684684 -16.89623467669955 -24.73749711756244 -41.67248435162746
-76.66666666666667 -16.86925308150824 -24.73578076772771 -41.669837392696174
-76.48648648648648 -16.84422104853003 -24.7340882246923 -41.66718151433294
-76.30630630630631 -16.821211906735144 -24.73242240254789 -41.66452042308238
-76.12612612612612 -16.800299626393652 -24.730786253331534 -41.66185800206863
-75.94594594594595 -16.781558879508736 -24.729182760227268 -41.65919830948975
-75.76576576576576 -16.765065103624398 -24.727614930283703 -41.65654557646211
-75.58558558558559 -16.750894569022034 -24.726085786650934 -41.653904204182304
-75.4054054054054 -16.73912444932164 -24.724598360342576 -41.65127876037482
-75.22522522522523 -16.729832895503783 -24.723155681531686 -41.64867397499468
-75.04504504504504 -16.723099113368207 -24.721760770392393 -41.64609473515508
-74.86486486486487 -16.719003444439995 -24.720416627502072 -41.643546079252175
-74.68468468468468 -16.717627450327747 -24.71912622382236 -41.64103319025985
-74.50450450450451 -16.719054000530075 -24.717892490280633 -41.638561388170416
-74.32432432432432 -16.723367363668764 -24.716718306977125 -41.636136121558295
-74.14414414414415 -16.73065330211051 -24.715606492046582 -41.63376295824741
-73.96396396396396 -16.740999169910577 -24.714559790206888 -41.631447575064925
-73.78378378378379 -16.754494013977464 -24.713580861031026 -41.62919574666784
-73.6036036036036 -16.771228678314397 -24.71267226698245 -41.62701333343229
-73.42342342342343 -16.79129591113555 -24.71183646125768 -41.62490626839893
-73.24324324324324 -16.81479047458603 -24.711075775483856 -41.622880543272494
-73.06306306306307 -16.84180925670493 -24.710392407322534 -41.62094219347766
-72.88288288288288 -16.872451385161572 -24.70978840803468 -41.61909728227833
-72.70270270270271 -16.906818342160562 -24.709265670065417 -41.617351883972525
-72.52252252252252 -16.945014079742045 -24.708825914710285 -41.615712066180464
