0.0,4846.302
1.0,4512.964
2.0,4358.86
3.0,4033.144
4.0,3659.209
5.0,3920.349
6.0,4172.374
7.0,3971.796
8.0,3432.006
9.0,3389.988
10.0,3522.353
11.0,3702.292
12.0,3716.506
13.0,3576.887
14.0,3232.562
15.0,2899.336
16.0,3029.641
17.0,3218.377
18.0,3360.84
19.0,3301.679
20.0,3262.603
21.0,3272.743
22.0,3394.932
23.0,3429.953
24.0,3576.537
25.0,3549.57
26.0,3693.299
27.0,3725.395
28.0,3723.222
29.0,3901.553
30.0,3660.176
31.0,3610.742
32.0,3510.061
33.0,3539.229
34.0,3704.907
35.0,3902.486
36.0,3964.724
37.0,3882.638
38.0,3866.702
39.0,3694.825
40.0,3628.207
41.0,3564.623
42.0,3544.096
43.0,3532.734
44.0,3583.072
45.0,3709.391
46.0,3643.147
47.0,3467.088
48.0,3473.457
49.0,3361.969
50.0,3428.884
